description,category
Suspected outbreak of fever in camp,medical
Patient with severe bleeding needs hospital transfer,medical
Surgical masks and gloves for clinic,medical
Insulin and chronic medicine shortage in 82,medical
Suspected outbreak of fever in camp,medical
Insulin and chronic medicine shortage in 92,medical
Suspected outbreak of fever in camp,medical
Clean water for cleaning wounds,medical
Clean water for cleaning wounds,medical
Clean water for cleaning wounds,medical
Need oxygen cylinders for patient at 60,medical
Need oxygen cylinders for patient at 38,medical
Doctor required for emergency surgery,medical
Suspected outbreak of fever in camp,medical
Insulin and chronic medicine shortage in 39,medical
Patient with severe bleeding needs hospital transfer,medical
Vaccination drive for kids in relief center,medical
Vaccination drive for kids in relief center,medical
Vaccination drive for kids in relief center,medical
Need oxygen cylinders for patient at 31,medical
Ambulance needed for heart attack victim,medical
Surgical masks and gloves for clinic,medical
Ambulance needed for heart attack victim,medical
Ambulance needed for heart attack victim,medical
Surgical masks and gloves for clinic,medical
Dry rations and rice needed for 256 people,food
Baby food and milk powder for infants,food
Baby food and milk powder for infants,food
Baby food and milk powder for infants,food
Emergency food supplies for isolated village,food
Baby food and milk powder for infants,food
Dry rations and rice needed for 211 people,food
Portable water tanks for distribution,food
Biscuits and protein bars for energy,food
Community kitchen needs cooking oil,food
Fresh vegetables for nutrition,food
Emergency food supplies for isolated village,food
Community kitchen needs cooking oil,food
Wheat flour and pulses for the camp,food
Fresh vegetables for nutrition,food
Biscuits and protein bars for energy,food
Portable water tanks for distribution,food
Baby food and milk powder for infants,food
Community kitchen needs cooking oil,food
Baby food and milk powder for infants,food
Biscuits and protein bars for energy,food
Community kitchen needs cooking oil,food
Dry rations and rice needed for 359 people,food
Community kitchen needs cooking oil,food
Baby food and milk powder for infants,food
Warm clothes for winter shelter,shelter
Tarpaulin sheets for temporary roofing,shelter
Hygiene kits and soap for camp,shelter
Hygiene kits and soap for camp,shelter
Warm clothes for winter shelter,shelter
Tarpaulin sheets for temporary roofing,shelter
Solar lamps for shelter lighting,shelter
Hygiene kits and soap for camp,shelter
Tarpaulin sheets for temporary roofing,shelter
Sleeping mats and bags for 107 people,shelter
Temporary roof covers for damaged homes,shelter
Mosquito nets for outdoor sleepers,shelter
Portable toilets for relief camp,shelter
Portable toilets for relief camp,shelter
Hygiene kits and soap for camp,shelter
Hygiene kits and soap for camp,shelter
Mosquito nets for outdoor sleepers,shelter
Temporary roof covers for damaged homes,shelter
Warm clothes for winter shelter,shelter
Tents and blankets for displaced families,shelter
Tarpaulin sheets for temporary roofing,shelter
Tents and blankets for displaced families,shelter
Hygiene kits and soap for camp,shelter
Mosquito nets for outdoor sleepers,shelter
Mosquito nets for outdoor sleepers,shelter
Ropes and harnesses for mountain rescue,rescue
Ladders and cutting tools for rescue,rescue
Ropes and harnesses for mountain rescue,rescue
Firefighters needed for warehouse fire,rescue
Lifeguards for flooded streets,rescue
Ladders and cutting tools for rescue,rescue
Helicopter rescue for hilltop village,rescue
Evacuation teams for coastal zone,rescue
Sniffer dogs for search under debris,rescue
People trapped in collapsed building at 24,rescue
Flood rescue boats needed for stranded families,rescue
Evacuation teams for coastal zone,rescue
Sniffer dogs for search under debris,rescue
Sniffer dogs for search under debris,rescue
Sniffer dogs for search under debris,rescue
Ropes and harnesses for mountain rescue,rescue
Ropes and harnesses for mountain rescue,rescue
Firefighters needed for warehouse fire,rescue
People trapped in collapsed building at 41,rescue
Ropes and harnesses for mountain rescue,rescue
Sniffer dogs for search under debris,rescue
Evacuation teams for coastal zone,rescue
Flood rescue boats needed for stranded families,rescue
Evacuation teams for coastal zone,rescue
Ropes and harnesses for mountain rescue,rescue
Map data and GPS trackers,logistics
Satellite phones for communication,logistics
Cargo planes unloading assistance,logistics
Trucks needed to transport relief goods,logistics
Coordinators for volunteer management,logistics
Cargo planes unloading assistance,logistics
Bus for evacuating senior citizens,logistics
Map data and GPS trackers,logistics
Cargo planes unloading assistance,logistics
Satellite phones for communication,logistics
Sorting facility for donated items,logistics
Satellite phones for communication,logistics
Fuel for generators and vehicles,logistics
Bus for evacuating senior citizens,logistics
Map data and GPS trackers,logistics
Map data and GPS trackers,logistics
Cargo planes unloading assistance,logistics
Fuel for generators and vehicles,logistics
Sorting facility for donated items,logistics
Coordinators for volunteer management,logistics
Satellite phones for communication,logistics
Sorting facility for donated items,logistics
Coordinators for volunteer management,logistics
Forklifts for moving heavy crates,logistics
Fuel for generators and vehicles,logistics
Cleaning supplies for community area,other
Psychological support for trauma victims,other
Cleaning supplies for community area,other
Power banks for volunteers,other
General labor for camp maintenance,other
General labor for camp maintenance,other
Power banks for volunteers,other
Power banks for volunteers,other
Legal advice for displaced families,other
Psychological support for trauma victims,other
Trash bags and waste management,other
Power banks for volunteers,other
Psychological support for trauma victims,other
Cleaning supplies for community area,other
Board games for children in camp,other
Stationery for data entry,other
Cleaning supplies for community area,other
Information desk for missing persons,other
Stationery for data entry,other
Board games for children in camp,other
Power banks for volunteers,other
Cleaning supplies for community area,other
Translators for international teams,other
Psychological support for trauma victims,other
Information desk for missing persons,other
